ticker,source_etf,country_code,region,section,weight,shares,price
TFPM,WLS,CT,,Materials,0.001855,65.312,41.51
600549,WLS,C1,,Materials,0.001849,444.524032,30.89
OUT1V,WLS,FH,,Materials,0.001843,376.542,4.412
000933,WLS,C2,,Materials,0.001836,629.81816,21.65
4631,WLS,JT,,Materials,0.001828,81.107,3585.0
002601,WLS,C2,,Materials,0.001827,668.162113,20.31
600219,WLS,C1,,Materials,0.001822,3251.827838,4.16
BILL,WLS,SS,,Materials,0.001807,219.455,81.7
002064,WLS,C2,,Materials,0.001806,1389.512292,9.65
IOSP,WLS,UW,,Materials,0.001801,24.607,76.29
PPTA,WLS,CT,,Materials,0.001797,78.2,33.59
DALBHARA,WLS,IS,,Materials,0.001794,74.484,2227.7
SKE,WLS,CT,,Materials,0.001783,103.49,25.18
MTX,WLS,UN,,Materials,0.001781,30.943,60.0
009830,WLS,KP,,Materials,0.001779,93.454,28200.0
NIC,WLS,AB,,Materials,0.001773,593.568,11.68
4626,WLS,JT,,Materials,0.001762,37.126,7550.0
FLUOROCH,WLS,IS,,Materials,0.001748,43.366,3728.0
4401,WLS,JT,,Materials,0.001746,83.401,3329.0
KIT,WLS,SP,,Materials,0.001738,5056.52,0.465
3939,WLS,HK,,Materials,0.001726,392.113,35.7
MPHC,WLS,QD,,Materials,0.001725,5172.418,1.267
OI,WLS,UN,,Materials,0.001724,151.036,11.9
1772,WLS,HK,,Materials,0.001723,306.737,45.56
601958,WLS,C1,,Materials,0.001721,815.701,15.67
ARIS,WLS,CT,,Materials,0.001706,173.739,14.35
EMR,WLS,AT,,Materials,0.001704,539.707,5.02
CLN,WLS,SE,,Materials,0.001698,198.926,7.175
000932,WLS,C2,,Materials,0.001698,1934.4171,6.52
KWR,WLS,UN,,Materials,0.001695,13.795,128.09
601216,WLS,C1,,Materials,0.001686,2362.644869,5.3
MDKA,WLS,IJ,,Materials,0.001661,12123.173,2370.0
VRLA,WLS,FP,,Materials,0.001657,65.112,22.94
LXS,WLS,GY,,Materials,0.001652,72.353,20.58
SRC,WLS,LN,,Materials,0.001649,1106.548,117.0
546,WLS,HK,,Materials,0.001646,1398.37,9.55
